"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "CSS", "YAML", "Prisma", "comment", "blank", "total"
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\.eslintrc.cjs", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 3, 36
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 12, 59
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\Notes and Reqs.md", "Markdown", 0, 0, 0, 0, 354, 0, 0, 0, 0, 0, 70, 424
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 13, 36
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\jest.config.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\next.config.mjs", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 11, 6, 44
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\package-lock.json", "JSON", 0, 0, 0, 12469, 0, 0, 0, 0, 0, 0, 1, 12470
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\package.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 94
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\postcss.config.cjs", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\prettier.config.cjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 88, 11, 28, 127
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\Context\HomePageContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\Context\PusherContex.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 9, 34
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\Context\UserContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 8, 40
"c:\Users\Admin\Desktop\CS50web and other fullstack projects\tee-tree\src\components\PostFeeds\SearchResults\infiniteScrollOnlyGifs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 0, 1, 17, 105
